number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
34,1.3787568167714066,2025-05-11 15:49:25.323492,2025-05-11 15:50:52.068191,0 days 00:01:26.744699,9.930283036639958e-07,0.8385924393252859,0.9566962768336248,0.0002850296303651347,0.7313850096828812,12,0.5007820663517148,COMPLETE
35,1.00150277120974,2025-05-11 15:50:52.101609,2025-05-11 15:52:15.054128,0 days 00:01:22.952519,9.8513702447288e-08,0.8479681966629187,0.955033001191604,3.3436968627279286e-05,0.9637110227483975,45,0.5424000690651671,COMPLETE
36,1.3787568167714066,2025-05-11 15:52:15.092249,2025-05-11 15:53:42.330772,0 days 00:01:27.238523,1.3011452627030906e-05,0.9444143706002034,0.9574750604229896,0.00021175984801712758,0.755855780965133,11,0.43388197119132127,COMPLETE
37,1.3787568167714066,2025-05-11 15:53:42.378393,2025-05-11 15:55:08.806502,0 days 00:01:26.428109,6.645105178699353e-07,0.8586228411863445,0.9145800042539128,4.0600148016488034e-05,0.5636806714524573,5,0.6164175917944356,COMPLETE
38,1.0,2025-05-11 15:55:08.843734,2025-05-11 15:56:01.773703,0 days 00:00:52.929969,4.408611210215292e-08,0.8260645959621266,0.9712172739640647,0.0006273807965593343,0.6661562472322219,1821,0.4171806407869111,PRUNED
39,1.0,2025-05-11 15:56:01.797027,2025-05-11 15:56:53.907859,0 days 00:00:52.110832,8.200118649238952e-06,0.9060675581735639,0.9346233050305823,1.2204529662250525e-05,0.3777530255914639,45,0.628153853536741,PRUNED
40,1.3787568167714066,2025-05-11 15:56:53.937093,2025-05-11 15:58:21.999200,0 days 00:01:28.062107,2.1562919488055885e-06,0.8406088326545788,0.9553550280186772,0.00027232162191941566,0.7290938677857245,11,0.5533202452438334,COMPLETE
41,1.3787568167714066,2025-05-11 15:58:22.047676,2025-05-11 15:59:50.343494,0 days 00:01:28.295818,8.602016671736982e-07,0.8599029688645506,0.9367588710327249,0.000151068209220839,0.7637598979727358,10,0.5248556546782669,COMPLETE
42,1.010742598389629,2025-05-11 15:59:50.377973,2025-05-11 16:00:45.805815,0 days 00:00:55.427842,5.499440664646632e-07,0.8368933895957482,0.9722794768949494,5.870779544987687e-05,0.6565332096849799,18,0.5120288388256333,PRUNED
43,1.0,2025-05-11 16:00:45.821976,2025-05-11 16:01:39.766209,0 days 00:00:53.944233,6.871390852183971e-08,0.9477574874412473,0.910032356417208,0.0003246229020524645,0.9143149797363644,32,0.3802002696280652,PRUNED
44,1.3787568167714066,2025-05-11 16:01:39.780252,2025-05-11 16:03:06.056783,0 days 00:01:26.276531,0.009489973872012065,0.8078201536192926,0.989608978367325,2.459205740223186e-05,0.8200712890865671,7,0.7641834685397533,COMPLETE
45,1.3787568167714066,2025-05-11 16:03:06.112984,2025-05-11 16:04:34.048105,0 days 00:01:27.935121,4.7459604911517164e-08,0.9014149993606398,0.9462935884686208,5.373589943654393e-05,0.5485093996074111,14,0.47117803901906574,COMPLETE
46,1.0,2025-05-11 16:04:34.118460,2025-05-11 16:05:26.564046,0 days 00:00:52.445586,4.5349071162378916e-07,0.8632173446371458,0.9649098467043982,0.0001717508020079241,0.7038437439233899,9,0.34156128260373986,PRUNED
47,1.0412094876276512,2025-05-11 16:05:26.585563,2025-05-11 16:06:21.997439,0 days 00:00:55.411876,6.483223508449532e-06,0.8268252797851064,0.9002457663495514,0.0011456727032944434,0.30231050187171166,60,0.1848737291570911,PRUNED
48,1.0,2025-05-11 16:06:22.029555,2025-05-11 16:07:47.714967,0 days 00:01:25.685412,2.673601025869157e-05,0.8006227976937704,0.9218438700823683,0.0013380593660080606,0.8667312016333968,67,0.1047192090284742,COMPLETE
49,1.3787568167714066,2025-05-11 16:07:47.734913,2025-05-11 16:09:14.991731,0 days 00:01:27.256818,3.736613541407625e-08,0.8834718264103762,0.9495952215469484,8.632604126737075e-05,0.6068196729583061,172,0.6807048789009382,COMPLETE
50,1.3787568167714066,2025-05-11 16:09:15.035251,2025-05-11 16:10:43.179300,0 days 00:01:28.144049,1.8263612670908033e-05,0.9426566810985462,0.9663616229277273,0.0002415504233654125,0.7710804335208404,10,0.455233656619057,COMPLETE
51,1.3787568167714066,2025-05-11 16:10:43.223836,2025-05-11 16:12:14.085640,0 days 00:01:30.861804,0.0001473435939423617,0.9546763773956828,0.95950546516371,0.00021335632442842135,0.7436988374095475,16,0.39762192313863526,COMPLETE
52,1.0,2025-05-11 16:12:14.118223,2025-05-11 16:13:08.349177,0 days 00:00:54.230954,1.244535480946956e-06,0.9699229247668578,0.9415445726687535,0.0003478769024057964,0.8041038004536106,31,0.481926482073094,PRUNED
